RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1577969192520	 	3.0.2
REQUEST	45		get all video games	1577969218332	1577969218336	OK	 
REQUEST	36		get specific video game	1577969218352	1577969218356	OK	 
REQUEST	20		get specific video game	1577969218361	1577969218363	OK	 
REQUEST	28		get all video games	1577969218361	1577969218363	OK	 
REQUEST	28		get all video games	1577969218363	1577969218365	OK	 
REQUEST	1		get all video games	1577969218432	1577969218436	OK	 
REQUEST	7		get all video games	1577969218432	1577969218436	OK	 
REQUEST	5		get all video games	1577969218432	1577969218436	OK	 
REQUEST	3		get all video games	1577969218432	1577969218436	OK	 
REQUEST	3		get all video games	1577969218437	1577969218439	OK	 
REQUEST	7		get all video games	1577969218437	1577969218439	OK	 
REQUEST	5		get all video games	1577969218437	1577969218440	OK	 
REQUEST	1		get all video games	1577969218436	1577969218440	OK	 
REQUEST	10		get all video games	1577969218441	1577969218443	OK	 
REQUEST	4		get all video games	1577969218440	1577969218443	OK	 
REQUEST	6		get all video games	1577969218441	1577969218444	OK	 
REQUEST	2		get all video games	1577969218441	1577969218444	OK	 
REQUEST	11		get all video games	1577969218441	1577969218444	OK	 
REQUEST	8		get all video games	1577969218441	1577969218445	OK	 
REQUEST	10		get all video games	1577969218444	1577969218446	OK	 
REQUEST	2		get all video games	1577969218444	1577969218446	OK	 
REQUEST	4		get all video games	1577969218444	1577969218447	OK	 
REQUEST	8		get all video games	1577969218445	1577969218447	OK	 
REQUEST	6		get all video games	1577969218444	1577969218448	OK	 
REQUEST	11		get all video games	1577969218445	1577969218448	OK	 
REQUEST	9		get all video games	1577969218451	1577969218452	OK	 
REQUEST	9		get all video games	1577969218452	1577969218454	OK	 
REQUEST	37		get specific video game	1577969218851	1577969218854	OK	 
REQUEST	29		get all video games	1577969218862	1577969218864	OK	 
REQUEST	29		get all video games	1577969218864	1577969218866	OK	 
REQUEST	12		get all video games	1577969218870	1577969218871	OK	 
REQUEST	12		get all video games	1577969218871	1577969218873	OK	 
USER	Fixed Duration Load Simulation 	46	START	1577969219331	1577969219331
REQUEST	46		get all video games	1577969219332	1577969219335	OK	 
REQUEST	38		get specific video game	1577969219352	1577969219354	OK	 
REQUEST	30		get all video games	1577969219362	1577969219363	OK	 
REQUEST	21		get specific video game	1577969219362	1577969219363	OK	 
REQUEST	30		get all video games	1577969219363	1577969219365	OK	 
REQUEST	13		get all video games	1577969219372	1577969219373	OK	 
REQUEST	13		get all video games	1577969219374	1577969219375	OK	 
USER	Fixed Duration Load Simulation 	47	START	1577969219832	1577969219832
REQUEST	47		get all video games	1577969219833	1577969219836	OK	 
REQUEST	39		get specific video game	1577969219853	1577969219856	OK	 
REQUEST	22		get specific video game	1577969219862	1577969219864	OK	 
REQUEST	14		get all video games	1577969219871	1577969219872	OK	 
REQUEST	14		get all video games	1577969219873	1577969219875	OK	 
